"filename", "language", "Ignore", "JSON", "Database", "Dockerfile", "MSBuild", "C#", "JSON with Comments", "comment", "blank", "total"
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\20200512064545_Second.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\20200514061305_IntervalAddition.Designer.cs", "C#", 0, 0, 0, 0, 0, 130, 0, 1, 43, 174
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\20200514061305_IntervalAddition.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\20200514074605_MatchWithGuild.Designer.cs", "C#", 0, 0, 0, 0, 0, 132, 0, 1, 44, 177
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\20200514074605_MatchWithGuild.cs", "C#", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Migrations\PlayerContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 130, 0, 1, 44, 175
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\Guild.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\GuildPlayer.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 9, 2, 25
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\Lobby.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\Match.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 3, 11, 33
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\Nickname.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 6, 18
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\Player.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 2, 9, 33
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\PlayerContext.cs", "C#", 0, 0, 0, 0, 0, 48, 0, 12, 14, 74
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\RequestModels.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Models\WeatherForecast.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Program.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 20, 2, 38
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Properties\launchSettings.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\SmashBotUltimate.csproj", "MSBuild", 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Startup.cs", "C#", 0, 0, 0, 0, 0, 69, 0, 5, 13, 87
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\appsettings.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\inscripcion.db", "Database", 0, 0, 81, 0, 0, 0, 0, 0, 2, 83
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\smashbot.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\smashbot.db", "Database", 0, 0, 68, 0, 0, 0, 0, 0, 0, 68
"Total", "-", 2, 53, 149, 14, 19, 2803, 11, 145, 693, 3889
